Role,Location,companyActivity,Task,hoursSaved,moneySaved
Senior Procurement Manager,New York,Commodities trading,Map SKUs to shipments,96,"7,978"
Senior Marketing Consultant,Poland,Marketing agency,Video editing,480,"41,151"
Senior Marketing Consultant,New York,Marketing agency,New York,30,"5,542"
Senior Procurement Manager,London,Agribusiness,Reconcile shipments with warehouse shipping orders,144,"7,727"
Head of Sales,New York,Software b2b,Review pipeline status,360,"32,291"
Senior Marketing Consultant,New York,Marketing agency,Create Tiktok videos to support marketing campaigns of clients,120,"7,263"
Business Managment and Client Comunication,Portugal,accounting,business managment of the accounting firm plus communication and document share with clients,900,"12,359"
customer service,"Rome, italy",Customer care,"chatbot ai, book appointments, custom data",12,"2,000"
Senior Procurement Manager,New York,Luxury goods,Reconcile purchase orders with shipping orders,384,"7,997"
Translator,Bangkok,Industry Standard Creation,Translate dociments,1200,"292,178"
Data analyst,Madrid,Risk assesment,Resume a huge document,192,"4,293"
actuarial analyst,Mumbai,Insurance,Excel sheet,12,"4,097"
Billing  concierge ,Mumbia,Process invoices,Summarize wip andncinsoldats information,72,"1,635"
Data analyst ,São paulo ,Investment banking ,Create proposals for m&a,1280,"206,820"
Ht,Gg,Gg,Gg,630,"18,467"
Finance director ,Spain,Retail ,Closing reporting,24,"1,118"
Buyer logistics,Rzeszów,Logistics,Prepare list of most important items in our warehouse,96,"2,114"
Senior product manager,New york,Health tech,"Create weekly product performance analysis( use existing stats). Build weekly report, summarize tech and product progress for the week/month/year",188.035,"13,018"
Lawyer,Czech Republic ,legal services,Agreement drafting,300,"174,728"
Selenium QA automation,Arizona,E commerce ,Test development using selenium,720,"27,860"
CEO,Los Angeles ,Software development ,Find leads ,144,"49,705"
Prediction model specialist,Usa,Predict outcomes of stake.com dice ,Predict dice roll outcome ,1032,0
Email marketing manager ,California,Fitness,"Create, execute and track email and sms marketing campaigns ",250,"17,340"
Administrative assistant ,"Dallas, Texas",Roofing company,Customer onboarding,120,"5,402"
AI trainer,Iraq,Uom,To help me in making. Training process easier and smoother,24,"432,978"
Public affairs analyst ,London,Monitor news and politics to see what information could affect clients ,Write consultation documents to send to various people ,120,"2,431"
Financial planner,Halifax ,Investment management ,Creating retirement scenarios,120,"4,390"
Senior software full stack developer,Melbourne,Full stack software development for enterprise solutions,"Code development, workflows, ci/cd pipelining, design, ui/ux, data integrity and security, auditing and code coverage pen testing",1600,"122,523"
Data analyse,Melbourne,web scraping and data entry,"scrape web, aggregate and clean data.",1600,"89,688"
Product Manager,Seattle,Market validation and technology product development ,Market research ,480,"47,691"
Product Manager,Seattle,Technology product development SaaS,Product discovery ,480,"47,691"
Data analyst,"Stockholm, Sweden",Financial analysis,Querying data and easier python scripts,200,"72,126"
Software engineer,Kuwait,KiB ,Write code ,1100,"18,945"
Sales junior,Dubai,Broadband services ,Proposals preparing ,250,"21,063"
,,,,,
Appointment Booking,Newyork,Dentist,Will be used to manage appointments,540,"15,667"
Senior Sales Enablement Specialist,Chicago,Cloud Services,"Create sales assets (pitch decks, call sheets, etc)",12,629
Senior Sales Enablement Specialist,Chicago,Cloud Services,"Create sales assets (pitch decks, call sheets, etc)",1200,"56,352"
automate labeling decisions,New York,analystics,label each message with a category,9.6,900
CTO,Malaga spain,software development,planification and coordination,176,"66,628"
marketig speacialist,remote,fitness,social media profile maitanance ,158.4,"9,183"
Project manager,San Francisco ,App development ,Weekly pod management ,2080,"12,194"
Senior Procurement Manager,New York,Trading firm,Reconcile shipments with purchase orders,72,"5,164"
Senior Procurement Manager,New York,Trading firm,reconciling shipments with purchase orders,72,"5,998"
Head of Sales,Dubai,Fintech providing API to banks,Generate reports about customer sentiment,96,"10,344"
Content writer,Remote,Marketing Technology ,Write SOPs for internal training,1500,"60,955"
researcher,Massachusetts ,tax sale and lien  investing,research tax deeds for liens ,250,"7,940"
researcher,Massachusetts ,tax sale and lien  investing,"research tax deeds for liens , title searches ",600,"28,722"
researcher,Massachusetts ,tax sale and lien  investing,writing grants ,720,"41,360"
Policy manager,New York,Its a fintech company,To summarize and create policy,600,"37,418"
creative writer,new york,entertainment,create descriptions and key words for content,480,"16,788"
analyst,Vermont,legislative analysis,"Classify legislation, report on trends",800,"35,384"
Sales assistant,oslo,consulting,Creating consultant CVs adapted to position descriptions,600,"592,736"
